31343,1 AV
46843,103 ST
186819,103 ST-CORONA
40337,104 ST
163834,110 ST
67608,111 ST
46297,116 ST
143592,116 ST-COLUMBIA
40505,121 ST
45613,125 ST
45151,135 ST
144054,137 ST CITY COL
165002,138/GRAND CONC
55402,14 ST
4860,14 ST-UNION SQ
44767,145 ST
165127,149/GRAND CONC
118956,14TH STREET
103955,15 ST-PROSPECT
44557,155 ST
144773,157 ST
71527,161/YANKEE STAD
44221,163 ST-AMSTERDM
72241,167 ST
43675,168 ST
88153,169 ST
72535,170 ST
171664,174 ST
72955,174-175 STS
43015,175 ST
166261,176 ST
25830,18 AV
133253,18 ST
42763,181 ST
73711,182-183 STS
166644,183 ST
42634,190 ST
145487,191 ST
100636,2 AV
25998,20 AV
145907,207 ST
90520,21 ST
109227,21 ST-QNSBRIDGE
146164,215 ST
173557,219 ST
173683,225 ST
4272,23 ST
146542,231 ST
173809,233 ST
146972,238 ST
28950,25 AV
22384,25 ST
3894,28 ST
31092,3 AV
174355,3 AV 138 ST
169780,3 AV-149 ST
182097,30 AV
155150,33 ST
183028,33 ST-RAWSON ST
3019,34 ST-HERALD SQ
190052,34 ST-HUDSON YD
52387,34 ST-PENN STA
181552,36 AV
22639,36 ST
181300,39 AV
103447,4 AV-9 ST
183448,40 ST LOWERY ST
95529,42 ST-BRYANT PK
50245,42 ST-PORT AUTH
22891,45 ST
80057,46 ST
183700,46 ST BLISS ST
94031,47-50 STS ROCK
1633,49 ST
21629,4AV-9 ST
75862,5 AV/53 ST
504,5 AV/59 ST
179320,5 AVE
27727,50 ST
158839,51 ST
184203,52 ST
23059,53 ST
27853,55 ST
107499,57 ST
1092,57 ST-7 AV
0,59 ST
48523,59 ST COLUMBUS
30882,6 AV
184455,61 ST WOODSIDE
83607,63 DR-REGO PARK
81064,65 ST
139308,66 ST-LINCOLN
84237,67 AV
161194,68ST-HUNTER CO
184959,69 ST
13448,7 AV
27997,71 ST
48229,72 ST
111114,72 ST-2 AVE
185295,74 ST-BROADWAY
85654,75 AV
39627,75 ST-ELDERTS
24109,77 ST
28197,79 ST
25033,8 AV
5951,8 ST-NYU
66595,80 ST
47809,81 ST-MUSEUM
185505,82 ST-JACKSON H
39837,85 ST-FOREST PK
24277,86 ST
111828,86 ST-2 AVE
66889,88 ST
27090,9 AV
185925,90 ST-ELMHURST
46969,96 ST
112458,96 ST-2 AVE
118753,9TH STREET
38913,ALABAMA AV
173050,ALLERTON AV
68326,AQUEDUCT N.COND
68536,AQUEDUCT RACETR
152291,ASTOR PL
182391,ASTORIA BLVD
182692,ASTORIA DITMARS
20918,ATL AV-BARCLAY
35000,ATLANTIC AV
15521,AVENUE H
106015,AVENUE I
16151,AVENUE J
16690,AVENUE M
106351,AVENUE N
106645,AVENUE P
17957,AVENUE U
107316,AVENUE X
99503,B'WAY-LAFAYETTE
29076,BAY 50 ST
26124,BAY PKWY
