,STATION,ENTRIES,EXITS,Station_Latitude,Station_Longitude,ENTRY_COUNT
335,World Trade Center,14546133268.333334,11702793493.52381,58407.045614952534,-106175.84153271516,318639.0
57,34th St-Penn Stn,22641523870.857143,24013128540.761906,24413.354414904694,-44327.689910332985,271958.0
211,Grand Central-42nd St,13830577046.952381,10198051079.428572,15873.787032380807,-28815.74364952357,221230.0
62,42nd St,57421159284.61905,46404766772.7619,17671.204254285793,-32079.8351035712,219760.0
55,34th St-Herald sq,30095128840.42857,37697385763.85714,14262.40164999995,-25895.73804999996,195278.0
93,86th St,14642267711.52381,15732562948.333334,18580.043268333116,-33859.17918047597,180276.0
47,23rd St,39543912282.04762,43503187042.809525,17652.62457128579,-32058.525764571692,176797.0
17,14th St-Union Square,5021280413.142858,1908664418.857143,9324.360624333345,-16936.652116999925,172224.0
316,Times Square-42nd St,34373466053.0,26798447245.809525,11997.399157333259,-21780.291106095265,160813.0
206,Fulton St,26113487272.761906,26365374403.0,23422.21817099977,-42585.15754166731,147503.0
85,72nd St,23198594591.95238,30082406731.285713,11184.162925714303,-20290.67245714277,132468.0
98,96th St,5595435287.666667,1062135937.1904762,12808.576843999936,-23224.91548600003,129041.0
8,125th St,31232690030.38095,19079363175.714287,10676.963468857188,-19347.34154485726,125363.0
75,59th St-Columbus Circle,20475613942.95238,17936501884.809525,9995.985895380947,-18139.664400999973,117650.0
16,14th St,27569992804.52381,19520963646.666668,12829.501209952417,-23303.48457,115872.0
155,Canal St,23912503853.52381,32221957405.61905,14007.963456000001,-25457.79877599987,114698.0
74,59th St,24690092301.04762,14056979138.47619,12819.446756571484,-23347.35446399995,102560.0
66,47-50th Sts Rockefeller Center,13382784282.380953,13350408749.047619,8743.703657857117,-15870.756530714312,98459.0
161,Chambers St,30492611484.809525,26681173311.714287,13137.086482666622,-23880.103426666552,92493.0
196,Flushing-Main St,1191261055.9047618,1134472544.4285715,6570.059333333348,-11900.697692857102,92037.0
