Station_Name,Station_Latitude,Station_Longitude
Ditmars Blvd,40.775036,-73.91203400000000
Astoria Blvd-Hoyt Av,40.770258,-73.917843
30 Av-Grand Av,40.766779,-73.921479
Broadway,40.76182,-73.925508
36 Av-Washington Av,40.756804000000000,-73.929575
39 Av-Beebe Av,40.752882,-73.932755
5th Av,40.764811,-73.973347
57th St,40.764664,-73.98065800000000
49th St,40.759901,-73.984139
28th St,40.745494,-73.988691
23rd St,40.741303,-73.98934400000000
Union Square,40.735736000000000,-73.99056800000000
8th St,40.730328,-73.99262900000000
Prince St,40.724329,-73.997702
City Hall,40.713282,-74.006978
Cortlandt St,40.710668,-74.01102900000000
Rector St,40.70722,-74.01334200000000
Whitehall St,40.703087,-74.01299400000000
Lawrence St,40.69218,-73.98594200000000
DeKalb Av,40.690635,-73.981824
Atlantic Av-Barclays Ctr,40.683666000000000,-73.97881
Pacific St,40.683666000000000,-73.97881
Union St,40.677316,-73.98311
9th St,40.670847000000000,-73.988302
Prospect Av,40.665414,-73.99287200000000
25th St,40.660397000000000,-73.998091
36th St,40.655144,-74.00354900000000
45th St,40.648939,-74.010006
53rd St,40.645069,-74.014034
59th St,40.641362,-74.017881
Bay Ridge Av,40.634967000000000,-74.023377
77th St,40.629742,-74.02551
86th St,40.622687,-74.028398
95th St,40.616622,-74.030876
7th Av,40.67705,-73.972367
Prospect Park,40.661614,-73.962246
Parkside Av,40.655292000000000,-73.961495
Church Av,40.650527000000000,-73.962982
Beverly Rd,40.644031,-73.964492
Cortelyou Rd,40.640927000000000,-73.963891
Newkirk Av,40.635082000000000,-73.962793
Av H,40.62927,-73.961639
Av J,40.625039,-73.960803
Av M,40.617618,-73.959399
Kings Highway,40.608670000000000,-73.957734
Av U,40.5993,-73.955929
Neck Rd,40.595246,-73.955161
Sheepshead Bay,40.586896,-73.954155
Brighton Beach,40.577621,-73.961376
Ocean Parkway,40.576312,-73.968501
West 8th St,40.576127,-73.975939
Stillwell Av,40.577422,-73.98123300000000
9th Av,40.646292000000000,-73.994324
Fort Hamilton Parkway,40.640914,-73.994304
50th St,40.63626,-73.994791
55th St,40.631435000000000,-73.995476
71st St,40.619589000000000,-73.998864
79th St,40.613501,-74.00061
18th Av,40.607954,-74.001736
20th Av,40.604556,-73.998168
Bay Parkway,40.601875,-73.993728
25th Av,40.597704,-73.986829
Bay 50th St,40.588841000000000,-73.983765
8th Av,40.635064,-74.011719
New Utrecht Av,40.624842,-73.996353
Bay Parkway-22nd Av,40.611815,-73.981848
121st St,40.700492,-73.828294
111th St,40.697418,-73.836345
104th St-102nd St,40.695178000000000,-73.84433
Woodhaven Blvd,40.693879000000000,-73.851576
Forest Parkway-85th St,40.692435000000000,-73.86001
Elderts Lane-75th St,40.691324,-73.867139
Cypress Hills,40.689941,-73.87255
Crescent St,40.683194,-73.873785
Norwood Av,40.68141,-73.880039
Cleveland St,40.679947,-73.884639
Van Siclen Av,40.678024,-73.891688
Alabama Av,40.676992,-73.89865400000000
Chauncey St,40.682893,-73.91045600000000
Halsey St,40.686370000000000,-73.91655900000000
Gates Av,40.68963,-73.92227
Kosciusko St,40.693342,-73.928814
Myrtle Av,40.697207,-73.93565700000000
Flushing Av,40.70026,-73.941126
Lorimer St,40.703869,-73.947408
Hewes St,40.70687,-73.95343100000000
Marcy Av,40.708359,-73.957757
Essex St,40.718315000000000,-73.987437
Bowery,40.720280000000000,-73.993915
Metropolitan Av,40.711396,-73.889601
Fresh Pond Rd,40.706186000000000,-73.895877
Forest Av,40.704423,-73.903077
Seneca Av,40.702762,-73.90774
Knickerbocker Av,40.698664,-73.91971100000000
Central Av,40.697857,-73.927397
3rd Av,40.732849,-73.986122
1st Av,40.730953,-73.981628
Bedford Av,40.717304,-73.956872
Graham Av,40.714565,-73.944053
Grand St,40.711926,-73.94067
Montrose Av,40.707739000000000,-73.93985
Morgan Av,40.706152,-73.93314700000000
Jefferson St,40.706607,-73.922913
Wilson Av,40.688764,-73.904046
Bushwick Av,40.682829,-73.905249
Atlantic Av,40.675345,-73.903097
Sutter Av,40.669367,-73.901975
Livonia Av,40.664038,-73.900571
New Lots Av,40.658733000000000,-73.899232
East 105th St,40.650573,-73.899485
Canarsie - Rockaway Parkway,40.646654,-73.90185
Franklin Av,40.680596,-73.955827
Park Place,40.674772,-73.957624
Botanic Gardens,40.670343,-73.959245
Inwood - 207th St,40.868072,-73.919899
Dyckman St-200th St,40.865491,-73.92727100000000
190th St,40.859022000000000,-73.93418
181st St,40.851695,-73.937969
175th St,40.847391000000000,-73.939704
168th St - Washington Heights,40.840719,-73.939561
163rd St - Amsterdam Av,40.836013,-73.939892
155th St,40.830518,-73.941514
145th St,40.824783000000000,-73.944216
135th St,40.817894,-73.947649
125th St,40.811109,-73.952343
116th St,40.805085,-73.954882
Cathedral Parkway-110th St,40.800605,-73.958158
103rd St,40.796092,-73.961454
96th St,40.791646,-73.964699
81st St - Museum of Natural History,40.781433,-73.972143
72nd St,40.775594,-73.97641
42nd St,40.757308,-73.989735
34th St-8th Av,40.752287,-73.993391
14th St,40.740893,-74.00169
West 4th St,40.732338,-74.000495
Spring St,40.726227,-74.003739
Canal St,40.720824,-74.005229
Chambers St,40.714111000000000,-74.008585
World Trade Center,40.712582,-74.009781
Broadway-Nassau,40.710197000000000,-74.00769100000000
High St,40.699337,-73.990531
Jay St - Borough Hall,40.692338,-73.987342
Hoyt & Schermerhorn,40.688484,-73.985001
Lafayette Av,40.686113,-73.973946
Clinton & Washington Avs,40.683263000000000,-73.965838
Nostrand Av,40.680438,-73.95042600000000
Kingston-Throop,40.679921,-73.94085800000000
Utica Av,40.679364,-73.930729
Ralph Av,40.678822,-73.92078600000000
Rockaway Av,40.678340000000000,-73.911946
Broadway Junction-East New York,40.678334,-73.905316
Liberty Av,40.674542000000000,-73.896548
Shepherd Av,40.67413,-73.88075
Euclid Av,40.675377000000000,-73.872106
Grant Av,40.677044,-73.86505
80th St-Hudson St,40.679371,-73.858992
